,loss,accuracy,val_loss,val_accuracy,lr
0,0.29883718490600586,0.8215000033378601,0.13515496253967285,0.980682373046875,0.0010000000474974513
1,0.2682245671749115,0.8331562280654907,0.11222817748785019,0.9831390380859375,0.0010000000474974513
2,0.26459208130836487,0.8338632583618164,0.11656184494495392,0.9815750122070312,0.0010000000474974513
3,0.253755122423172,0.8399648666381836,0.1160065308213234,0.9770660400390625,0.0010000000474974513
4,0.25014758110046387,0.8427890539169312,0.1134752631187439,0.9863433837890625,0.0010000000474974513
5,0.25661614537239075,0.8387109637260437,0.13937322795391083,0.9745635986328125,0.0010000000474974513
6,0.2548656761646271,0.8390156030654907,0.12732835114002228,0.9763412475585938,0.0010000000474974513
7,0.2525702118873596,0.8401288986206055,0.1371387541294098,0.9738922119140625,0.0010000000474974513
8,0.256852388381958,0.8374531269073486,0.12298042327165604,0.98468017578125,0.0010000000474974513
9,0.25169241428375244,0.8386250138282776,0.11790093034505844,0.978424072265625,0.0010000000474974513
10,0.253447562456131,0.8403906226158142,0.12529709935188293,0.977691650390625,0.00010000000474974513
11,0.2458321899175644,0.8446757793426514,0.1310516744852066,0.9753036499023438,0.00010000000474974513
12,0.25255993008613586,0.8402851819992065,0.12601922452449799,0.9758987426757812,0.00010000000474974513
13,0.247717946767807,0.8431133031845093,0.12843261659145355,0.9763107299804688,0.00010000000474974513
14,0.24839848279953003,0.8423125147819519,0.1274072676897049,0.9753570556640625,0.00010000000474974513
15,0.247589573264122,0.8420156240463257,0.12955284118652344,0.976531982421875,0.00010000000474974513
16,0.2427852749824524,0.8445664048194885,0.13302740454673767,0.9712295532226562,0.00010000000474974513
17,0.2454352229833603,0.8446640372276306,0.12700481712818146,0.975433349609375,0.00010000000474974513
18,0.24982182681560516,0.8417734503746033,0.11838317662477493,0.9779586791992188,0.00010000000474974513
19,0.24285437166690826,0.8439921736717224,0.13959847390651703,0.9710311889648438,0.00010000000474974513
