;F_cens;P_cens;R_cens;F_mfcc;P_mfcc;R_mfcc;param;kernel_size
58;0.1739130434782609;0.11764705882352941;0.3333333333333333;0.26666666666666666;0.2222222222222222;0.3333333333333333;(9, 4);20
59;0.19047619047619044;0.13333333333333333;0.3333333333333333;0.23529411764705885;0.18181818181818182;0.3333333333333333;(21, 5);20
60;0.12121212121212122;0.06451612903225806;1.0;0.06451612903225806;0.034482758620689655;0.5;(9, 2);20
61;0.09999999999999999;0.05555555555555555;0.5;0.0;0.0;0.0;(9, 4);20
62;0.23529411764705882;0.13333333333333333;1.0;0.125;0.07142857142857142;0.5;(21, 5);20
63;0.15873015873015875;0.09090909090909091;0.625;0.12;0.07142857142857142;0.375;(9, 2);20
64;0.1764705882352941;0.11538461538461539;0.375;0.2105263157894737;0.18181818181818182;0.25;(9, 4);20
65;0.16666666666666666;0.125;0.25;0.23529411764705882;0.2222222222222222;0.25;(21, 5);20
66;0.14035087719298245;0.07547169811320754;1.0;0.14285714285714285;0.07894736842105263;0.75;(9, 2);20
67;0.0625;0.03571428571428571;0.25;0.0;0.0;0.0;(9, 4);20
68;0.2;0.125;0.5;0.0;0.0;0.0;(21, 5);20
69;0.19999999999999998;0.11363636363636363;0.8333333333333334;0.26666666666666666;0.16666666666666666;0.6666666666666666;(9, 2);20
70;0.3225806451612903;0.2;0.8333333333333334;0.5882352941176471;0.45454545454545453;0.8333333333333334;(9, 4);20
71;0.3809523809523809;0.26666666666666666;0.6666666666666666;0.625;0.5;0.8333333333333334;(21, 5);20
72;0.17142857142857143;0.09375;1.0;0.16949152542372883;0.09433962264150944;0.8333333333333334;(9, 2);20
73;0.27027027027027023;0.16129032258064516;0.8333333333333334;0.4444444444444445;0.2857142857142857;1.0;(9, 4);20
74;0.21428571428571427;0.13636363636363635;0.5;0.4;0.2857142857142857;0.6666666666666666;(21, 5);20
75;0.20779220779220778;0.11940298507462686;0.8;0.3076923076923077;0.19047619047619047;0.8;(9, 2);20
76;0.27906976744186046;0.18181818181818182;0.6;0.5714285714285714;0.4444444444444444;0.8;(9, 4);20
77;0.21621621621621623;0.14814814814814814;0.4;0.4615384615384615;0.375;0.6;(21, 5);20
78;0.125;0.06796116504854369;0.7777777777777778;0.1978021978021978;0.10975609756097561;1.0;(9, 2);20
79;0.16438356164383564;0.09375;0.6666666666666666;0.2545454545454546;0.15217391304347827;0.7777777777777778;(9, 4);20
80;0.18867924528301888;0.11363636363636363;0.5555555555555556;0.27272727272727276;0.17142857142857143;0.6666666666666666;(21, 5);20
81;0.13698630136986303;0.07692307692307693;0.625;0.22580645161290322;0.12962962962962962;0.875;(9, 2);20
82;0.20512820512820512;0.12903225806451613;0.5;0.46153846153846156;0.3333333333333333;0.75;(9, 4);20
83;0.2777777777777778;0.17857142857142858;0.625;0.56;0.4117647058823529;0.875;(21, 5);20
84;0.21505376344086022;0.12048192771084337;1.0;0.20253164556962025;0.11594202898550725;0.8;(9, 2);20
85;0.391304347826087;0.25;0.9;0.3414634146341463;0.22580645161290322;0.7;(9, 4);20
86;0.3157894736842105;0.21428571428571427;0.6;0.4615384615384615;0.375;0.6;(21, 5);20
87;0.21739130434782605;0.12195121951219512;1.0;0.1951219512195122;0.12903225806451613;0.4;(9, 2);20
88;0.22580645161290322;0.1346153846153846;0.7;0.4000000000000001;0.4;0.4;(9, 4);20
89;0.21276595744680854;0.13513513513513514;0.5;0.4210526315789474;0.4444444444444444;0.4;(21, 5);20
90;0.09523809523809523;0.05;1.0;0.0;0.0;0.0;(9, 2);20
91;0.2222222222222222;0.125;1.0;0.10526315789473684;0.058823529411764705;0.5;(9, 4);20
92;0.25;0.14285714285714285;1.0;0.23529411764705882;0.13333333333333333;1.0;(21, 5);20
93;0.1846153846153846;0.10344827586206896;0.8571428571428571;0.25;0.14285714285714285;1.0;(9, 2);20
94;0.19047619047619044;0.11428571428571428;0.5714285714285714;0.3157894736842105;0.25;0.42857142857142855;(9, 4);20
95;0.2222222222222222;0.15;0.42857142857142855;0.42857142857142855;0.42857142857142855;0.42857142857142855;(21, 5);20
96;0.18666666666666668;0.1044776119402985;0.875;0.17283950617283952;0.0958904109589041;0.875;(9, 2);20
97;0.21212121212121213;0.1206896551724138;0.875;0.23255813953488372;0.14285714285714285;0.625;(9, 4);20
98;0.18867924528301885;0.1111111111111111;0.625;0.30769230769230765;0.1935483870967742;0.75;(21, 5);20
99;0.08333333333333333;0.043478260869565216;1.0;0.0;0.0;0.0;(9, 2);20
100;0.13559322033898305;0.07407407407407407;0.8;0.0;0.0;0.0;(9, 4);20
101;0.07547169811320754;0.041666666666666664;0.4;0.0;0.0;0.0;(21, 5);20
102;0.13636363636363635;0.07692307692307693;0.6;0.30303030303030304;0.17857142857142858;1.0;(9, 2);20
103;0.3448275862068966;0.20833333333333334;1.0;0.5714285714285714;0.4444444444444444;0.8;(9, 4);20
104;0.32000000000000006;0.2;0.8;0.5714285714285714;0.4444444444444444;0.8;(21, 5);20
105;0.12;0.06382978723404255;1.0;0.20689655172413793;0.11538461538461539;1.0;(9, 2);20
106;0.12903225806451613;0.07142857142857142;0.6666666666666666;0.2222222222222222;0.16666666666666666;0.3333333333333333;(9, 4);20
107;0.2;0.11764705882352941;0.6666666666666666;0.25;0.2;0.3333333333333333;(21, 5);20
108;0.1492537313432836;0.08064516129032258;1.0;0.1777777777777778;0.1;0.8;(9, 2);20
109;0.1739130434782609;0.0975609756097561;0.8;0.1;0.06666666666666667;0.2;(9, 4);20
110;0.26666666666666666;0.16;0.8;0.26666666666666666;0.2;0.4;(21, 5);20
111;0.2222222222222222;0.125;1.0;0.25;0.16666666666666666;0.5;(9, 2);20
112;0.27272727272727276;0.16666666666666666;0.75;0.3333333333333333;0.25;0.5;(9, 4);20
113;0.2105263157894737;0.13333333333333333;0.5;0.4;0.3333333333333333;0.5;(21, 5);20
114;0.22535211267605634;0.13559322033898305;0.6666666666666666;0.3389830508474576;0.2127659574468085;0.8333333333333334;(9, 2);20
115;0.3;0.21428571428571427;0.5;0.4242424242424242;0.3333333333333333;0.5833333333333334;(9, 4);20
116;0.2857142857142857;0.21739130434782608;0.4166666666666667;0.3333333333333333;0.3333333333333333;0.3333333333333333;(21, 5);20
117;0.2105263157894737;0.12121212121212122;0.8;0.25;0.14285714285714285;1.0;(9, 2);20
118;0.4;0.25;1.0;0.3448275862068966;0.20833333333333334;1.0;(9, 4);20
119;0.4210526315789473;0.2857142857142857;0.8;0.3157894736842105;0.21428571428571427;0.6;(21, 5);20
120;0.2608695652173913;0.15384615384615385;0.8571428571428571;0.29268292682926833;0.17647058823529413;0.8571428571428571;(9, 2);20
121;0.26086956521739124;0.1875;0.42857142857142855;0.26666666666666666;0.25;0.2857142857142857;(9, 4);20
122;0.09523809523809523;0.07142857142857142;0.14285714285714285;0.26666666666666666;0.25;0.2857142857142857;(21, 5);20
123;0.20202020202020202;0.11627906976744186;0.7692307692307693;0.32727272727272727;0.21428571428571427;0.6923076923076923;(9, 2);20
124;0.29629629629629634;0.1951219512195122;0.6153846153846154;0.32558139534883723;0.23333333333333334;0.5384615384615384;(9, 4);20
125;0.4;0.2962962962962963;0.6153846153846154;0.27777777777777773;0.21739130434782608;0.38461538461538464;(21, 5);20
126;0.10843373493975904;0.057692307692307696;0.9;0.15384615384615385;0.08641975308641975;0.7;(9, 2);20
