;F_cens;P_cens;R_cens;F_mfcc;P_mfcc;R_mfcc;param;kernel_size
0;0.06349206349206349;0.03508771929824561;0.3333333333333333;0.044444444444444446;0.02564102564102564;0.16666666666666666;(9, 2);20
1;0.10256410256410256;0.06060606060606061;0.3333333333333333;0.0;0.0;0.0;(9, 4);20
2;0.12121212121212122;0.07407407407407407;0.3333333333333333;0.0;0.0;0.0;(21, 5);20
3;0.05555555555555555;0.038461538461538464;0.1;0.25641025641025644;0.1724137931034483;0.5;(9, 2);20
4;0.08;0.06666666666666667;0.1;0.17391304347826086;0.15384615384615385;0.2;(9, 4);20
5;0.0;0.0;0.0;0.3157894736842105;0.3333333333333333;0.3;(21, 5);20
6;0.03225806451612903;0.017543859649122806;0.2;0.2857142857142857;0.1875;0.6;(9, 2);20
7;0.0;0.0;0.0;0.25000000000000006;0.18181818181818182;0.4;(9, 4);20
8;0.08000000000000002;0.05;0.2;0.2857142857142857;0.2222222222222222;0.4;(21, 5);20
9;0.05970149253731344;0.03278688524590164;0.3333333333333333;0.22222222222222224;0.14285714285714285;0.5;(9, 2);20
10;0.10256410256410256;0.06060606060606061;0.3333333333333333;0.11764705882352942;0.09090909090909091;0.16666666666666666;(9, 4);20
11;0.0;0.0;0.0;0.13333333333333333;0.1111111111111111;0.16666666666666666;(21, 5);20
12;0.0;0.0;0.0;0.06451612903225806;0.04;0.16666666666666666;(9, 2);20
13;0.0;0.0;0.0;0.0;0.0;0.0;(9, 4);20
14;0.08695652173913045;0.058823529411764705;0.16666666666666666;0.0;0.0;0.0;(21, 5);20
15;0.05714285714285715;0.030303030303030304;0.5;0.02040816326530612;0.010869565217391304;0.16666666666666666;(9, 2);20
16;0.02985074626865672;0.01639344262295082;0.16666666666666666;0.03225806451612903;0.017857142857142856;0.16666666666666666;(9, 4);20
17;0.034482758620689655;0.019230769230769232;0.16666666666666666;0.03773584905660377;0.02127659574468085;0.16666666666666666;(21, 5);20
18;0.07766990291262135;0.047058823529411764;0.2222222222222222;0.11111111111111113;0.06944444444444445;0.2777777777777778;(9, 2);20
19;0.10526315789473684;0.06896551724137931;0.2222222222222222;0.09523809523809525;0.08333333333333333;0.1111111111111111;(9, 4);20
20;0.1724137931034483;0.125;0.2777777777777778;0.13793103448275862;0.18181818181818182;0.1111111111111111;(21, 5);20
21;0.08955223880597016;0.05084745762711865;0.375;0.0;0.0;0.0;(9, 2);20
22;0.1;0.0625;0.25;0.0;0.0;0.0;(9, 4);20
23;0.0625;0.041666666666666664;0.125;0.06451612903225806;0.043478260869565216;0.125;(21, 5);20
24;0.02150537634408602;0.011235955056179775;0.25;0.08695652173913043;0.046153846153846156;0.75;(9, 2);20
25;0.0;0.0;0.0;0.04878048780487805;0.02702702702702703;0.25;(9, 4);20
26;0.045454545454545456;0.025;0.25;0.16;0.09523809523809523;0.5;(21, 5);20
27;0.13333333333333333;0.07865168539325842;0.4375;0.12048192771084336;0.07462686567164178;0.3125;(9, 2);20
28;0.0;0.0;0.0;0.19672131147540986;0.13333333333333333;0.375;(9, 4);20
29;0.06557377049180328;0.044444444444444446;0.125;0.24;0.17647058823529413;0.375;(21, 5);20
30;0.030303030303030307;0.01639344262295082;0.2;0.0;0.0;0.0;(9, 2);20
31;0.04347826086956522;0.024390243902439025;0.2;0.11764705882352941;0.08333333333333333;0.2;(9, 4);20
32;0.09999999999999999;0.05714285714285714;0.4;0.12500000000000003;0.09090909090909091;0.2;(21, 5);20
33;0.09803921568627451;0.054945054945054944;0.45454545454545453;0.034482758620689655;0.02127659574468085;0.09090909090909091;(9, 2);20
34;0.07272727272727272;0.045454545454545456;0.18181818181818182;0.05714285714285715;0.041666666666666664;0.09090909090909091;(9, 4);20
35;0.04878048780487805;0.03333333333333333;0.09090909090909091;0.18749999999999997;0.14285714285714285;0.2727272727272727;(21, 5);20
36;0.028571428571428574;0.016129032258064516;0.125;0.06666666666666668;0.038461538461538464;0.25;(9, 2);20
37;0.0;0.0;0.0;0.0;0.0;0.0;(9, 4);20
